id;name;name_display_english;type_value;new_type_value;possible_values
118;Base Material;BaseMaterial_Arc_Lamps;text;list;Wood, Metal, Plastic
119;Base Material;BaseMaterial_Bedside_Lamps;text;list;Wood, Metal, Plastic
120;Base Material;BaseMaterial_Buffet_Lamps;text;list;Wood, Metal, Plastic
121;Base Material;BaseMaterial_Desk_Lamps;text;list;Wood, Metal, Plastic
122;Base Material;BaseMaterial_Floor_Lamps;text;list;Wood, Metal, Plastic
123;Base Material;BaseMaterial_Table_Lamps;text;list;Wood, Metal, Plastic
128;Beam Angle;BeamAngle_Cabinet_Spotlights;numeric;numeric;
129;Beam Angle;BeamAngle_Ceiling_Lights;list;numeric;
130;Beam Angle;BeamAngle_Chandeliers;list;numeric;
131;Beam Angle;BeamAngle_Flush_Mount_Lights;list;numeric;
132;Beam Angle;BeamAngle_LED_Puck_Lights;list;numeric;
133;Beam Angle;BeamAngle_Pendant_Lights;list;numeric;
134;Beam Angle;BeamAngle_Recessed_Lighting;list;numeric;
135;Beam Angle;BeamAngle_Strip_Lights;list;numeric;
136;Beam Angle;BeamAngle_Task_Lamps;list;numeric;
137;Beam Angle;BeamAngle_Under-Cabinet_Lighting;list;numeric;
138;Beam Angle;BeamAngle_Wall_Sconces;list;numeric;
139;Beam Spread;BeamSpread_Deck_Lights;numeric;list;narrow, wide
140;Beam Spread;BeamSpread_Flexible_Track_Lighting;numeric;list;narrow, wide
141;Beam Spread;BeamSpread_Floodlights;numeric;list;narrow, wide
142;Beam Spread;BeamSpread_Landscape_Lighting;numeric;list;narrow, wide
143;Beam Spread;BeamSpread_Linear_Track_Lighting;numeric;list;narrow, wide
144;Beam Spread;BeamSpread_Pathway_Lights;numeric;list;narrow, wide
145;Beam Spread;BeamSpread_Post_Lights;numeric;list;narrow, wide
146;Beam Spread;BeamSpread_Security_Lights;numeric;list;narrow, wide
147;Beam Spread;BeamSpread_Spotlight_Tracks;numeric;list;narrow, wide
148;Beam Spread;BeamSpread_Track_Lighting;numeric;list;narrow, wide
149;Beam Spread;BeamSpread_Track_Lighting_Systems;numeric;list;narrow, wide
150;Bulb Type;BulbType_Arc_Lamps;text;list;Incandescent, CFL, LED, Halogen, Fluorescent, HID, Smart Bulbs
151;Bulb Type;BulbType_Bedside_Lamps;text;list;Incandescent, CFL, LED, Halogen, Fluorescent, HID, Smart Bulbs
