display_name,system_name,Description,value_data_type
Adhesive Backing,AdhesiveBacking_LED_Light_Bars,Adhesive Backing,text
Adhesive Backing,AdhesiveBacking_LED_Panel_Lights,Adhesive Backing,text
Adhesive Backing,AdhesiveBacking_LED_Strip_Lights,Adhesive Backing,text
Adhesive Backing,AdhesiveBacking_RGB_LED_Strips,Adhesive Backing,text
Adhesive Backing,AdhesiveBacking_Waterproof_LED_Strips,Adhesive Backing,text
Adjustability,Adjustability_Flexible_Track_Lighting,Adjustability,boolean
Adjustability,Adjustability_Linear_Track_Lighting,Adjustability,boolean
Adjustability,Adjustability_Spotlight_Tracks,Adjustability,boolean
Adjustability,Adjustability_Track_Lighting,Adjustability,boolean
Adjustability,Adjustability_Track_Lighting_Systems,Adjustability,boolean
Base Material,BaseMaterial_Arc_Lamps,Base Material,text
Base Material,BaseMaterial_Bedside_Lamps,Base Material,text
Base Material,BaseMaterial_Buffet_Lamps,Base Material,text
Base Material,BaseMaterial_Desk_Lamps,Base Material,text
Base Material,BaseMaterial_Floor_Lamps,Base Material,text
Base Material,BaseMaterial_Table_Lamps,Base Material,text
Battery Life,BatteryLife_Backup_Lights,Battery Life,numeric
Battery Life,BatteryLife_Emergency_Floodlights,Battery Life,numeric
Battery Life,BatteryLife_Emergency_Lights,Battery Life,numeric
Battery Life,BatteryLife_Exit_Signs,Battery Life,numeric
Beam Angle,BeamAngle_Cabinet_Spotlights,Beam Angle,numeric
Beam Angle,BeamAngle_Ceiling_Lights,Beam Angle,list
Beam Angle,BeamAngle_Chandeliers,Beam Angle,list
Beam Angle,BeamAngle_Flush_Mount_Lights,Beam Angle,list
Beam Angle,BeamAngle_LED_Puck_Lights,Beam Angle,list
Beam Angle,BeamAngle_Pendant_Lights,Beam Angle,list
Beam Angle,BeamAngle_Recessed_Lighting,Beam Angle,list
Beam Angle,BeamAngle_Strip_Lights,Beam Angle,list
Beam Angle,BeamAngle_Task_Lamps,Beam Angle,list
Beam Angle,BeamAngle_Under-Cabinet_Lighting,Beam Angle,list
